,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Huskies_network_params,Opponent_network_params,Huskies_mean_50time,Opponent_mean_50time,time_lag
10,11,Opponent11,win,3,2,home,Coach2,"{'clustering_coeff': 0.12022847510195749, 'shortest_path': 0.2974516459074955, 'largest_eigenvalue': 3.396203968024513, 'algebraic_conn': 0.6205695713461968, 'eigen_cen_max': 0.4720609468479517, 'eigen_cen_std': 0.12612620038156527}","{'clustering_coeff': 0.05985726204449673, 'shortest_path': 0.4851197074172858, 'largest_eigenvalue': 7.741820270381003, 'algebraic_conn': 0.7807565546595462, 'eigen_cen_max': 0.5217185044187935, 'eigen_cen_std': 0.1767847917756605}",1411.8504052932333,1001.7788516254682,20.283450997474706
11,12,Opponent12,tie,2,2,away,Coach2,"{'clustering_coeff': 0.1273949706706462, 'shortest_path': 0.3434374559088233, 'largest_eigenvalue': 2.2105521435762863, 'algebraic_conn': 0.830165273252318, 'eigen_cen_max': 0.42212986027380583, 'eigen_cen_std': 0.11601463842872115}","{'clustering_coeff': 0.09974284492580268, 'shortest_path': 0.40613509995807323, 'largest_eigenvalue': 8.717331831858868, 'algebraic_conn': 1.2247314754250604, 'eigen_cen_max': 0.4478849821207042, 'eigen_cen_std': 0.14557797668931632}",2428.032266073171,678.2099462287235,-32.964781674579115
12,13,Opponent13,loss,1,4,away,Coach2,"{'clustering_coeff': 0.11328918887792991, 'shortest_path': 0.3774013939364889, 'largest_eigenvalue': 4.94177098333383, 'algebraic_conn': 0.7779514389053519, 'eigen_cen_max': 0.45505833100321297, 'eigen_cen_std': 0.139471898205939}","{'clustering_coeff': 0.09833170711205019, 'shortest_path': 0.44309724916996396, 'largest_eigenvalue': 10.239846918787386, 'algebraic_conn': 0.423703911675742, 'eigen_cen_max': 0.43894606308259726, 'eigen_cen_std': 0.15327836819473134}",1136.8089468071068,578.1607521541852,-14.101052168350137
13,14,Opponent14,win,4,0,home,Coach2,"{'clustering_coeff': 0.11662465390686803, 'shortest_path': 0.4854494414811813, 'largest_eigenvalue': 6.626020704359796, 'algebraic_conn': 0.7407067998183017, 'eigen_cen_max': 0.48646548038681303, 'eigen_cen_std': 0.1373027170972212}","{'clustering_coeff': 0.12585471210353624, 'shortest_path': 0.48551957047457706, 'largest_eigenvalue': 7.507280015731861, 'algebraic_conn': 0.9227882937899577, 'eigen_cen_max': 0.5059020444746903, 'eigen_cen_std': 0.15637762964464855}",872.8475928080809,785.3122735488215,-18.357648802861956
14,15,Opponent15,win,2,0,home,Coach3,"{'clustering_coeff': 0.149684538600448, 'shortest_path': 0.4122392181758137, 'largest_eigenvalue': 4.639937629275926, 'algebraic_conn': 1.480167324376617, 'eigen_cen_max': 0.47180047617614956, 'eigen_cen_std': 0.1288777815018214}","{'clustering_coeff': 0.20020399613274048, 'shortest_path': 0.38050304652344097, 'largest_eigenvalue': 4.388103379161029, 'algebraic_conn': 0.6516724430622771, 'eigen_cen_max': 0.4950552952591171, 'eigen_cen_std': 0.13451754885161177}",1035.127162443439,1241.7074800804598,32.43851180437714
15,16,Opponent16,tie,1,1,away,Coach3,"{'clustering_coeff': 0.08786084362939468, 'shortest_path': 0.40274216153805553, 'largest_eigenvalue': 1.422964833660039, 'algebraic_conn': 0.9766709603515272, 'eigen_cen_max': 0.5408015986795467, 'eigen_cen_std': 0.11644307793355842}","{'clustering_coeff': 0.08902193823129176, 'shortest_path': 0.3958437856292201, 'largest_eigenvalue': 11.534627011753576, 'algebraic_conn': 1.1967478599111363, 'eigen_cen_max': 0.46582442912206884, 'eigen_cen_std': 0.15145710385275296}",3204.291828933334,468.94798730270276,15.666727127441028
16,17,Opponent17,win,1,0,away,Coach3,"{'clustering_coeff': 0.10517693782074833, 'shortest_path': 0.3918005546751947, 'largest_eigenvalue': 6.582191820471065, 'algebraic_conn': 0.12074939556547615, 'eigen_cen_max': 0.46466360045511235, 'eigen_cen_std': 0.1601388238354708}","{'clustering_coeff': 0.10710271758899834, 'shortest_path': 0.47032077170631026, 'largest_eigenvalue': 7.861913410726381, 'algebraic_conn': 0.9525397144104317, 'eigen_cen_max': 0.47654920343084867, 'eigen_cen_std': 0.1379894750397047}",821.0793919999999,762.1975576923077,-36.04850339259258
17,18,Opponent18,win,3,1,home,Coach3,"{'clustering_coeff': 0.06961550864892399, 'shortest_path': 0.42031578027768446, 'largest_eigenvalue': 8.095063204929284, 'algebraic_conn': 0.8522714751323288, 'eigen_cen_max': 0.5776609570617047, 'eigen_cen_std': 0.1662097731399007}","{'clustering_coeff': 0.13576881675130764, 'shortest_path': 0.4727651414474406, 'largest_eigenvalue': 5.397435644221231, 'algebraic_conn': 0.6204522731859267, 'eigen_cen_max': 0.38589827450000913, 'eigen_cen_std': 0.12686700836361725}",862.9059859885497,929.8736210158733,3.8692864031986574
18,19,Opponent3,tie,0,0,home,Coach3,"{'clustering_coeff': 0.13594253727423353, 'shortest_path': 0.3930095194358577, 'largest_eigenvalue': 4.296006946339199, 'algebraic_conn': 1.4064993865425706, 'eigen_cen_max': 0.4219633538814516, 'eigen_cen_std': 0.13600169885980457}","{'clustering_coeff': 0.14109089436264904, 'shortest_path': 0.5928807643774936, 'largest_eigenvalue': 8.87376245703032, 'algebraic_conn': 1.1777959430566858, 'eigen_cen_max': 0.38399633051319665, 'eigen_cen_std': 0.11946891893427024}",1070.528562141414,567.5781280223215,-6.907125024242436
19,20,Opponent19,tie,0,0,away,Coach3,"{'clustering_coeff': 0.14434454291806498, 'shortest_path': 0.339186754406561, 'largest_eigenvalue': 3.9596238491468183, 'algebraic_conn': 0.23286907458381387, 'eigen_cen_max': 0.4114665795133937, 'eigen_cen_std': 0.12997167650079214}","{'clustering_coeff': 0.10703929093993979, 'shortest_path': 0.42546467648325526, 'largest_eigenvalue': 4.387347473595909, 'algebraic_conn': 0.27273660313872045, 'eigen_cen_max': 0.47415613003212487, 'eigen_cen_std': 0.15341927440045194}",1051.6352116555556,1249.7619909555558,18.908088210774388
20,21,Opponent6,loss,1,2,away,Coach3,"{'clustering_coeff': 0.11000489463014881, 'shortest_path': 0.41495801710164154, 'largest_eigenvalue': 6.880748783817378, 'algebraic_conn': 1.7563743207492908, 'eigen_cen_max': 0.42636776672776877, 'eigen_cen_std': 0.1179072033796554}","{'clustering_coeff': 0.06433579634128486, 'shortest_path': 0.3141463991088025, 'largest_eigenvalue': 4.591024894205699, 'algebraic_conn': 0.1928997946398653, 'eigen_cen_max': 0.6445678410169583, 'eigen_cen_std': 0.20276050462943482}",771.7386350443039,1424.7784909675324,34.86780934848488
21,22,Opponent5,loss,0,2,home,Coach3,"{'clustering_coeff': 0.10949213588762095, 'shortest_path': 0.4029308213451031, 'largest_eigenvalue': 4.6782561506400455, 'algebraic_conn': 0.39359017111552086, 'eigen_cen_max': 0.5029392787316448, 'eigen_cen_std': 0.14867311051513887}","{'clustering_coeff': 0.09606190849601808, 'shortest_path': 0.5477742355666035, 'largest_eigenvalue': 11.78850530695886, 'algebraic_conn': 0.7782015077905673, 'eigen_cen_max': 0.5350462996140599, 'eigen_cen_std': 0.15858998148924902}",1179.6729053492063,574.6274700798122,-15.736479313131326
22,23,Opponent4,loss,0,4,away,Coach3,"{'clustering_coeff': 0.0986446057491585, 'shortest_path': 0.4133300788772735, 'largest_eigenvalue': 4.706109729072759, 'algebraic_conn': 1.486777389660539, 'eigen_cen_max': 0.5535240370970684, 'eigen_cen_std': 0.1498035593658186}","{'clustering_coeff': 0.14154032771381686, 'shortest_path': 0.38604875808469613, 'largest_eigenvalue': 8.827208546516797, 'algebraic_conn': 0.40049268162466434, 'eigen_cen_max': 0.4214551574494588, 'eigen_cen_std': 0.1363611309620732}",1198.984425591398,590.5019158132387,-18.20509821127949
23,24,Opponent19,tie,1,1,home,Coach3,"{'clustering_coeff': 0.11408905498729463, 'shortest_path': 0.396214451842335, 'largest_eigenvalue': 5.441856991368461, 'algebraic_conn': 1.2714018466274912, 'eigen_cen_max': 0.4066887947918024, 'eigen_cen_std': 0.10490371369756946}","{'clustering_coeff': 0.12297446937202813, 'shortest_path': 0.41844897999218583, 'largest_eigenvalue': 3.513656772834234, 'algebraic_conn': 0.5854330878744565, 'eigen_cen_max': 0.44350704831057497, 'eigen_cen_std': 0.15652924484289063}",900.4389955777779,1638.5428646470589,5.775285174579121
24,25,Opponent10,win,2,1,home,Coach3,"{'clustering_coeff': 0.05029623499343809, 'shortest_path': 0.48662964907094375, 'largest_eigenvalue': 6.144050059556248, 'algebraic_conn': 0.5374648030939732, 'eigen_cen_max': 0.6346087893783157, 'eigen_cen_std': 0.17256535090198336}","{'clustering_coeff': 0.10747197767228951, 'shortest_path': 0.43276715399595406, 'largest_eigenvalue': 5.929228823998683, 'algebraic_conn': 1.1010508157769818, 'eigen_cen_max': 0.4854487688020433, 'eigen_cen_std': 0.15950411763839653}",1031.6607203216083,1033.4277898878925,39.22364882154881
25,26,Opponent9,loss,1,5,away,Coach3,"{'clustering_coeff': 0.10757776538087979, 'shortest_path': 0.3694712962230083, 'largest_eigenvalue': 5.228884885759639, 'algebraic_conn': 1.4398960882205785, 'eigen_cen_max': 0.45103380735952636, 'eigen_cen_std': 0.1214480439353845}","{'clustering_coeff': 0.11934691789584542, 'shortest_path': 0.4913638610355177, 'largest_eigenvalue': 10.07767466508929, 'algebraic_conn': 0.8528123853079946, 'eigen_cen_max': 0.4996945232373544, 'eigen_cen_std': 0.1642119903234311}",922.0005925696202,681.963033608579,10.555116218181809
26,27,Opponent12,win,3,1,home,Coach3,"{'clustering_coeff': 0.07432643631975444, 'shortest_path': 0.3917795814322525, 'largest_eigenvalue': 5.3398943919131305, 'algebraic_conn': 0.6015717842837819, 'eigen_cen_max': 0.5016450632242122, 'eigen_cen_std': 0.14085123080963574}","{'clustering_coeff': 0.19639878984910372, 'shortest_path': 0.39154238708922373, 'largest_eigenvalue': 4.665188852080976, 'algebraic_conn': 0.8335022821045975, 'eigen_cen_max': 0.464679437504555, 'eigen_cen_std': 0.11638520457052594}",865.3727586351932,1088.9179451235295,-26.203828576094352
27,28,Opponent11,loss,0,1,away,Coach3,"{'clustering_coeff': 0.14265957371563426, 'shortest_path': 0.33861913624003304, 'largest_eigenvalue': 4.369997399557419, 'algebraic_conn': 0.5032948607284629, 'eigen_cen_max': 0.4016544349951241, 'eigen_cen_std': 0.13278423127184302}","{'clustering_coeff': 0.16822594452577833, 'shortest_path': 0.40771740502974896, 'largest_eigenvalue': 4.675941906668471, 'algebraic_conn': 1.5721485870882723, 'eigen_cen_max': 0.4620162366852092, 'eigen_cen_std': 0.10362097323421257}",1094.3927180797873,1122.9112953238098,-19.35790264208758
28,29,Opponent7,loss,1,2,away,Coach3,"{'clustering_coeff': 0.1344850529514501, 'shortest_path': 0.32617358433372445, 'largest_eigenvalue': 3.9809517820744267, 'algebraic_conn': 0.18608168333098726, 'eigen_cen_max': 0.5847183479062075, 'eigen_cen_std': 0.14632660423405527}","{'clustering_coeff': 0.16954500404851244, 'shortest_path': 0.43294919462294834, 'largest_eigenvalue': 4.481537505122149, 'algebraic_conn': 1.6740391017372587, 'eigen_cen_max': 0.4579212141942951, 'eigen_cen_std': 0.10958113727859681}",1284.3158745764704,985.1712715121952,-36.39512978114485
29,30,Opponent8,win,2,0,home,Coach3,"{'clustering_coeff': 0.15540607399310824, 'shortest_path': 0.368022291451103, 'largest_eigenvalue': 6.131078451043898, 'algebraic_conn': 0.3828119683377816, 'eigen_cen_max': 0.45910440191196117, 'eigen_cen_std': 0.14230874384008108}","{'clustering_coeff': 0.17149135504202664, 'shortest_path': 0.3583568809316986, 'largest_eigenvalue': 3.2370346962165, 'algebraic_conn': 0.2969476737373254, 'eigen_cen_max': 0.47724634312196734, 'eigen_cen_std': 0.14308784939762914}",928.618866927481,1470.3309812868856,-24.710117345454478
30,31,Opponent1,win,2,1,away,Coach3,"{'clustering_coeff': 0.1186345146713528, 'shortest_path': 0.412301536407179, 'largest_eigenvalue': 7.199487567272285, 'algebraic_conn': 0.6426028808302064, 'eigen_cen_max': 0.5072345389043288, 'eigen_cen_std': 0.15424668318819415}","{'clustering_coeff': 0.17460951600107097, 'shortest_path': 0.38840053904926863, 'largest_eigenvalue': 4.512418682959755, 'algebraic_conn': 0.7407114100554646, 'eigen_cen_max': 0.5374695345206044, 'eigen_cen_std': 0.14446381173660347}",904.4290015053764,1226.0646963636364,19.47741511313128
31,32,Opponent2,loss,1,3,home,Coach3,"{'clustering_coeff': 0.05611842166270781, 'shortest_path': 0.3651285751424836, 'largest_eigenvalue': 1.9021606041609653, 'algebraic_conn': 0.6309094340350597, 'eigen_cen_max': 0.5192167118549746, 'eigen_cen_std': 0.12985425903290912}","{'clustering_coeff': 0.0808116192510264, 'shortest_path': 0.4405866569492077, 'largest_eigenvalue': 19.62143951500282, 'algebraic_conn': 0.6144351931627242, 'eigen_cen_max': 0.5455161257494278, 'eigen_cen_std': 0.15585881274639055}",2830.783196457627,310.75839423216445,8.770862041919273
32,33,Opponent16,tie,0,0,home,Coach3,"{'clustering_coeff': 0.10222974143361808, 'shortest_path': 0.39205975658795855, 'largest_eigenvalue': 3.5096909304857866, 'algebraic_conn': 1.0130993896819804, 'eigen_cen_max': 0.44042884718694136, 'eigen_cen_std': 0.10639406123938655}","{'clustering_coeff': 0.13876857961541955, 'shortest_path': 0.4105745643106425, 'largest_eigenvalue': 9.640185205332847, 'algebraic_conn': 1.0464538330100601, 'eigen_cen_max': 0.4125868308778591, 'eigen_cen_std': 0.12491332268772261}",1437.1696101592358,574.5661986540404,-34.262342189899
33,34,Opponent18,tie,1,1,away,Coach3,"{'clustering_coeff': 0.10212288718010913, 'shortest_path': 0.40393817561330225, 'largest_eigenvalue': 6.408555517264018, 'algebraic_conn': 0.6382565916924678, 'eigen_cen_max': 0.4363787878099545, 'eigen_cen_std': 0.13547431654343597}","{'clustering_coeff': 0.1513717991565068, 'shortest_path': 0.38240061248382673, 'largest_eigenvalue': 5.525898145855235, 'algebraic_conn': 1.6429267300570884, 'eigen_cen_max': 0.43574826606707073, 'eigen_cen_std': 0.1217043803594062}",810.0942665244756,911.6395161934157,36.87208826750843
34,35,Opponent17,win,1,0,home,Coach3,"{'clustering_coeff': 0.08218471235809663, 'shortest_path': 0.35501263133174377, 'largest_eigenvalue': 7.5657452010979895, 'algebraic_conn': 0.2188625829174713, 'eigen_cen_max': 0.4758543917300197, 'eigen_cen_std': 0.15234012780575493}","{'clustering_coeff': 0.1458049639977332, 'shortest_path': 0.35259503124410896, 'largest_eigenvalue': 4.33300705792479, 'algebraic_conn': 0.8015391781080241, 'eigen_cen_max': 0.4522183773870615, 'eigen_cen_std': 0.1336416148622201}",693.1277485454546,1189.524186226316,-31.970807826599383
35,36,Opponent15,win,2,0,away,Coach3,"{'clustering_coeff': 0.08493240538448008, 'shortest_path': 0.3640532959784095, 'largest_eigenvalue': 6.491095016363073, 'algebraic_conn': 1.0670598237323756, 'eigen_cen_max': 0.4709886678776374, 'eigen_cen_std': 0.15551535235720204}","{'clustering_coeff': 0.10834308456780602, 'shortest_path': 0.42913891782242874, 'largest_eigenvalue': 6.048557827723182, 'algebraic_conn': 1.2333367239728261, 'eigen_cen_max': 0.4996973654863615, 'eigen_cen_std': 0.13152058111127624}",935.9370816706349,871.5567926895162,-17.97484268148149
36,37,Opponent13,tie,1,1,home,Coach3,"{'clustering_coeff': 0.09464686011342059, 'shortest_path': 0.39114095333767357, 'largest_eigenvalue': 5.8440080903639515, 'algebraic_conn': 1.0735806763987046, 'eigen_cen_max': 0.551676016463423, 'eigen_cen_std': 0.148680677282384}","{'clustering_coeff': 0.09440029052379253, 'shortest_path': 0.35821626665818196, 'largest_eigenvalue': 5.125184333447846, 'algebraic_conn': 1.0078358876413065, 'eigen_cen_max': 0.5057909926621741, 'eigen_cen_std': 0.1446611844127409}",1011.2483069382718,1044.4500435255102,-22.218040190909072
37,38,Opponent14,loss,1,3,away,Coach3,"{'clustering_coeff': 0.14840797339504247, 'shortest_path': 0.45123679894124996, 'largest_eigenvalue': 6.073454291672553, 'algebraic_conn': 0.8559416841542914, 'eigen_cen_max': 0.47977096376723427, 'eigen_cen_std': 0.14843741429426446}","{'clustering_coeff': 0.1367223265132523, 'shortest_path': 0.41184895045092834, 'largest_eigenvalue': 7.580453451136776, 'algebraic_conn': 0.3877504348181844, 'eigen_cen_max': 0.4858075863292296, 'eigen_cen_std': 0.1542954279614542}",1022.2492603600001,815.8442305245901,20.94366182828285
